Series_Title,Year,title_norm,kg_id,imdb_id,kg_release_date,kg_vote_avg,kg_vote_count,_matched_key
Persona,1966,persona,797.0,tt0060827,1966-10-18,8.0,353.0,title_norm
Andrei Rublev,1966,andrei rublev,895.0,tt0060107,1966-12-16,8.0,139.0,title_norm
La battaglia di Algeri,1966,la battaglia di algeri,17295,tt0058946,1966-09-08,7.8,167.0,original_title_norm
El ángel exterminador,1962,el ángel exterminador,29264,tt0056732,1962-05-01,7.8,118.0,original_title_norm
What Ever Happened to Baby Jane?,1962,what ever happened to baby jane,10242.0,tt0056687,1962-10-31,7.9,210.0,title_norm
Sanjuro,1962,sanjuro,11712.0,tt0056443,1962-01-01,7.8,122.0,title_norm
The Man Who Shot Liberty Valance,1962,the man who shot liberty valance,11697.0,tt0056217,1962-04-22,7.4,272.0,title_norm
Ivanovo detstvo,1962,ivanovo detstvo,,,,,,
Jungfrukällan,1960,jungfrukällan,11656,tt0053976,1960-02-08,7.8,129.0,original_title_norm
Inherit the Wind,1960,inherit the wind,1908.0,tt0053946,1960-06-24,7.6,93.0,title_norm
Les quatre cents coups,1959,les quatre cents coups,147,tt0053198,1959-05-04,8.0,363.0,original_title_norm
Ben-Hur,1959,benhur,665.0,tt0052618,1959-12-26,7.5,660.0,title_norm
Kakushi-toride no san-akunin,1958,kakushitoride no sanakunin,,,,,,
Le notti di Cabiria,1957,le notti di cabiria,19426,tt0050783,1957-10-03,7.9,122.0,original_title_norm
Kumonosu-jô,1957,kumonosujô,,,,,,
The Bridge on the River Kwai,1957,the bridge on the river kwai,826.0,tt0050212,1957-10-02,7.7,554.0,title_norm
On the Waterfront,1954,on the waterfront,654.0,tt0047296,1954-06-22,8.0,368.0,title_norm
